t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000004,152.7821834549384,-65.38964388264978,-120.318675481391,-126.98939345548834,-11.223196848121564,-1707.2976935846086,-18.312455051197446,-25.452202013860507,-4.385968036880434,-26.443630113877212,-45.064163158923925,-33.12548331124112,1794.836595822522,-60.99535947522905,-55.508570174270446,-14.21476611014477,237.26926381923127,-25.189066529392335,-29.92796351484521,-180.86518456924628,-72.1893739236195,-21.154153541837083,-46.905282185298155,35.224790463711535,196.3760967913499
24.0,274.8000000000001,362.96639793940125,-155.72556293677223,-297.0913684342538,-307.08044527220034,-25.924901322436984,-3934.3292605266734,-29.6563283431285,-58.87092680365183,-12.037807563065126,-46.354690694474556,-108.77515524270655,-76.90570412791334,3715.686153160305,-141.28318674442139,-128.60906113362452,-32.83496124635456,592.0244784973163,-58.18503895911081,-69.13164958892814,-447.0251772695179,-181.480080580597,-49.252678994109736,-108.73624613329513,89.13303375754852,453.58239849303027
36.0,277.1999999999998,637.8384727114081,-270.0353245673711,-539.1158106958842,-546.3691307209459,-43.37479455244367,-6635.755968408056,-23.433532520972133,-96.44124123548795,-24.013514444295012,-49.58558268127069,-191.48334116727872,-129.64995515234938,5498.383748917956,-237.3590307292445,-216.15407851400448,-54.9353716416414,1087.6412455178656,-97.34867064231483,-115.66347858525522,-812.5654191423677,-331.6000102303781,-83.38388480420846,-182.90553838688692,165.65551802658086,758.8052506286579
48.0,279.59999999999997,986.4999240397999,-403.2923907566015,-849.9134869332959,-849.2811416789209,-62.53108873937389,-9720.3569287277,10.127981379003781,-133.0036550258408,-40.98766450513744,-29.112085526162343,-290.0490554763302,-188.681482106623,6866.202029456928,-343.95894463758316,-313.38900267159835,-79.19629539069724,1736.1106754710856,-140.3416638922037,-166.7453041953573,-1284.4525789401805,-520.4159675378233,-121.98226351457245,-265.4573375556662,267.64778930955816,1093.7743170590452
60.0,281.99999999999983,1411.0067726909047,-545.4695779184249,-1227.5307320544277,-1216.4431227613725,-82.39711834631012,-13100.841514952306,76.04044847630432,-164.4617419163796,-63.062596251948754,17.50843368605896,-396.25017316768094,-251.309127360625,7616.924588069148,-455.9167327305073,-415.634895101086,-104.35530716002282,2534.910915909343,-184.92706896309775,-219.71935938909,-1862.1614361801333,-741.6096954361888,-163.41976629614203,-352.4767993568472,394.6245320962892,1441.0120003114162
72.0,284.40000000000015,1885.2481881279714,-678.9669234974715,-1661.1730958718194,-1556.951580511127,-101.25368614341707,-16617.082492243957,165.5018139311386,-185.98475980003465,-89.85940188274736,83.08246672520636,-495.59955296019115,-313.08584771438046,7576.939618784852,-564.5169223837402,-515.0166879927959,-128.23585643156926,3471.010419639212,-227.2469073478773,-270.00159916678035,-2529.5480533008085,-972.8822219036202,-205.08309162078353,-437.4059109438671,516.4096957157926,1770.4222486669057
84.0,286.8000000000004,2305.890547653456,-777.4607676214308,-2117.9498538259154,-1618.033019311171,-115.42509858204629,-19870.30409922548,238.594173579718,-191.7111376196034,-120.02596428542392,145.5271556595492,-568.4289459320994,-364.4538459557315,6474.729074335904,-651.0755720024746,-594.6472615441947,-146.1842720218783,4471.075933415327,-259.0526226658277,-307.79113976414465,-3189.5352283371685,-1159.8596377346387,-241.33504410459298,-506.1735838587775,572.4123994135159,2017.7136825754326
96.0,289.20000013224023,2659.7260624692053,-845.6747989855685,-2573.6927838298966,-1679.3630540354256,-127.93852162838758,-23239.018327833917,305.36278233159,-197.2431799412376,-151.99444565219306,216.06737039747475,-613.980996056228,-412.0903586944532,4617.409906204146,-729.7857585522759,-667.2399081145146,-162.03300576254097,4976.114274841821,-287.1373375568579,-341.15956696107946,-3355.0494873720595,-1340.360175369086,-275.6240057262594,-569.1740580130354,616.3906702812019,2235.8462538504555
108.0,307.1999997909567,3164.09124013502,-942.0241021308311,-2981.8320185370926,-2093.1889512099633,-134.02340431992727,-26843.701083556218,412.0450265797346,-177.13622284954278,-196.7383561326432,349.6345981420537,-699.6794494353674,-441.1956158119082,2995.008308715567,-773.5993537628968,-708.1191702951413,-169.25454174139458,5726.482933742889,-300.5009045253181,-357.1733036377056,-3730.22882249471,-1526.1959713661267,-298.2690951871409,-605.8286647389738,13956.638906301745,2232.823819551155
