t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000008,152.7868924221865,-65.39137618215946,-120.32056639976817,-126.9926445087274,-11.22421599510738,-1707.4140204890507,-18.31005206467821,-25.455536438907636,-4.385847262507767,-26.440519015127702,-45.0648814806847,-33.12647989181778,1794.9819992565378,-60.997089641911295,-55.5107846682106,-14.214963141641693,237.26517877269774,-25.19158447706526,-29.929311244572087,-180.87030182241338,-72.19834153615663,-21.154577110076783,-46.90993521813332,64.35875060403652,196.3759852840514
24.0,274.8000000000009,362.97076569879187,-155.72959618027284,-297.09610994159243,-307.0868935750775,-25.927467353765575,-3934.6231939466256,-29.649002628832626,-58.87985110442337,-12.037486114686004,-46.34398434980492,-108.77664594448852,-76.9081495905374,3716.047171101483,-141.28745661879836,-128.61456282689718,-32.83544356217542,592.0120638811823,-58.1913816034822,-69.13502568605855,-447.0380555306976,-181.50549349703653,-49.253688184670004,-108.74792817035501,162.8540443882171,453.5818920773971
36.0,277.2000000000008,637.8362009646628,-270.04229684211066,-539.1244825867675,-546.3786199541133,-43.379547901027905,-6636.297028190312,-23.417509660509495,-96.45857499053524,-24.01289884108538,-49.56096475844206,-191.48561649243456,-129.65439553395586,5499.039403851895,-237.36682284832457,-216.16416767379795,-54.93624814281223,1087.6141158807918,-97.36042338931996,-115.66971130396801,-812.589144190952,-331.6518225793608,-83.38567257248204,-182.92712593022395,302.6686083895734,758.8040351772012
48.0,279.6000000000007,986.4864299911133,-403.30288272789176,-849.9270346966227,-849.2940473080528,-62.53875728724494,-9721.21438181772,10.15836870729042,-133.0325559029308,-40.98665231901221,-29.066331720577153,-290.0519793211536,-188.68854824801613,6867.226160847206,-343.9713977708124,-313.40517271248837,-79.19769703924888,1736.059250499564,-140.3606271036526,-166.75534390225332,-1284.4902637662676,-520.5055583172519,-121.98505602277024,-265.49209429073727,489.02059468331134,1093.7721537368832
60.0,282.0000000000007,1410.9795861288553,-545.484108586217,-1227.5499999355989,-1216.4598302014115,-82.40838287857261,-13102.066633714632,76.0919894977738,-164.5052922175524,-63.06114186670622,17.58197055957525,-396.25362156232006,-251.3193529061561,7618.355105963367,-455.9347963164015,-415.6584595712762,-104.35732038326515,2534.8243665884943,-184.95493412970913,-219.7340497750655,-1862.2158327397872,-741.7474953039266,-163.42373565141062,-352.52780075539044,721.0219316799951,1441.0080750466125
72.0,284.40000000000015,1885.199993711181,-678.983764635959,-1661.195961239097,-1556.9522216025996,-101.2680915670115,-16618.599618606044,165.57162650375108,-186.0426371603818,-89.8576061084641,83.18003596701038,-495.60249902232147,-313.0982755067256,7578.667485795657,-564.5387744609118,-515.045902432815,-128.2380663747238,3470.887456144625,-227.28261914807655,-270.0199288704447,-2529.614446514406,-973.06093860121,-205.0876902377836,-437.4712862001664,943.5276615871278,1770.4112509803424
84.0,286.79999999999984,2305.814998989316,-777.4769172681141,-2117.971185056065,-1618.0330140692006,-115.440872590673,-19871.872960995886,238.6613635543967,-191.77904436785164,-120.02400931846464,145.62909816141828,-568.4300442750284,-364.466885624285,6476.420434564683,-651.0985772054013,-594.6785221683377,-146.18647641720142,4470.915466539839,-259.091772699883,-307.81094095620386,-3189.5822379327865,-1160.049825647418,-241.33961207697672,-506.2450751507401,1045.8481990089626,2017.6981123827609
96.0,289.1999996830293,2659.623164301058,-845.6910912867248,-2573.7106310559866,-1679.363097176765,-127.95539521469911,-23240.57821811342,305.42239755026907,-197.32023202852852,-151.99240369528005,216.1663888269292,-613.9812840874387,-412.10393711696446,4618.949936911657,-729.8097892406273,-667.2728833869106,-162.03523726925064,4975.894897106235,-287.1792433562622,-341.18058994533703,-3355.049835170347,-1340.553231504139,-275.62858138862435,-569.2504409147881,1126.199346315764,2235.8275212939607
108.0,289.1999996830293,2970.904996565891,-864.1242847392921,-2942.4393860861096,-1682.4968580751224,-130.49445192242032,-26279.451593994414,373.5561063751001,-172.1734698081509,-180.91062272124046,310.96626178481137,-627.9066245544063,-433.9330155124951,2256.8110247624627,-757.8007489743983,-694.0771713915493,-165.13215056526747,5311.684949622527,-292.8506926362712,-347.85453735724354,-3356.4242840978727,-1457.3440443206423,-294.77913892935925,-594.327940240135,4354.134294631606,2177.7090261535327
