t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999935,152.96029806527983,-65.61929256369638,-120.38071323867791,-127.06483595489586,-11.237434245539358,-1709.8710193226418,-18.43505184957324,-25.550005953443307,-4.71632628553133,-26.43852318937693,-45.26743336820623,-33.16268266627589,1799.645509495267,-61.06871386914413,-55.57419493965948,-14.23290385669618,237.56447622900544,-25.22119675504168,-29.96642924138613,-180.95318368075613,-72.31973738315611,-21.176520698064106,-46.96010132581145,27.414695503995183,196.63002614535554
24.0,277.6559999999993,364.4923723466574,-157.06389286043816,-297.55172224577996,-307.70848450032366,-26.0124496329193,-3947.8891652190423,-30.206120949686948,-59.37684162374928,-13.574796041967414,-46.291194825392225,-109.95342674879214,-77.13991195217066,3738.8070746402927,-141.73682638653128,-129.01795017934617,-32.946112846316225,593.8265107487368,-58.38197682570884,-69.36637498486954,-447.69497288598234,-182.31327597319932,-49.39440059746026,-109.07829820386294,69.49477364882469,455.1266006841317
36.0,281.4839999999992,643.7346293764701,-274.32737069325583,-540.8029715684698,-548.7346540622266,-43.64547907996093,-6673.667702121089,-24.57753315819403,-97.81594470566398,-28.004730616190805,-49.13644727823871,-195.28236763588697,-130.38627669968471,5556.4023489273495,-238.77130296771406,-217.43038402060046,-55.2786996588709,1093.614880769122,-97.95701723157386,-116.38765085310203,-815.0393266396073,-334.4284614140999,-83.83315253528158,-183.9748639419017,129.54851523210036,763.5646012583485
48.0,285.3119999999994,1002.4068794168402,-414.0227563737356,-854.3724214116858,-855.6005881524707,-63.14256099164576,-9800.384768010035,8.798071969199976,-135.76400148604526,-49.062213220160416,-27.278486009853395,-299.66750050560785,-190.36375050847045,6974.127869630215,-347.1657521829416,-316.2909738769844,-79.97152526215726,1751.31004502488,-141.715364825275,-168.37968622365565,-1291.0407504244329,-527.6238907800168,-123.01502039584562,-267.89144374175095,210.3885051485239,1104.510269131964
60.0,289.13999999999965,1446.6291737817705,-568.9928295021152,-1237.3392028490164,-1231.6357209245095,-83.56820199790289,-13246.713004080497,76.2454326926827,-169.06023984501067,-77.19774915371475,22.948221699899282,-417.64590453333284,-254.54847739581524,7785.756088388815,-462.07316436900686,-421.2100327550335,-105.83957858312885,2568.2098688919627,-187.55732984420194,-222.84782933050198,-1876.929219899973,-757.3415366355626,-165.4140272453939,-357.15561916671686,313.24203273892317,1461.5543875477365
72.0,292.96799999999973,1972.3142199597298,-727.168029306706,-1682.9816799202617,-1668.6604327487066,-104.10220462130842,-16944.42912422162,177.1952582507382,-195.28708163648042,-112.24113431556707,100.29844838895946,-538.6334152316571,-320.64391224116315,7874.227977642675,-579.160220622445,-528.2553525561661,-131.84416613498763,3529.7171573329656,-233.64213823470175,-277.60489865408704,-2564.5271115181167,-1015.1270001194297,-209.60842299759085,-448.46375923593877,432.9186915826592,1820.315763918642
84.0,296.7959999999991,2497.7155227575417,-866.6156055887379,-2166.0041419147205,-1866.5737069395102,-121.18163483955357,-20516.312720015452,276.1171622443293,-205.49823645190352,-153.64009451033277,180.03445844994104,-647.1492652026136,-379.7505657690206,6957.116436538378,-680.6800898774974,-621.4235146399741,-153.47496982770673,4609.053437675885,-271.97437232229447,-323.1498805737726,-3294.5591793732265,-1244.9456070817714,-250.49817492876278,-528.5410807296015,505.92834883822235,2118.465450041599
96.0,300.6239999999995,2965.182425602714,-973.1475581922452,-2655.495706446588,-1963.7768101732736,-135.96679102863828,-24097.515106783037,362.5738196419985,-211.2138062316846,-199.3236699459413,262.6248440032208,-726.9043579321227,-433.8322662797174,5127.837742088088,-771.477778621386,-704.991692643284,-172.20067517521807,5315.472071412112,-305.1577354718091,-362.57685010473506,-3630.8807248317203,-1457.4582758287013,-288.80983765060984,-600.7763019398361,556.1120063899516,2376.307423767938
108.0,304.4520004732789,3369.3430936305226,-1056.5505375783428,-3107.7885178596102,-2062.0512960601127,-149.76902047045039,-27956.496446813253,445.0509358676961,-219.83815680017383,-247.78019092765422,358.2570958238389,-785.3105061513065,-485.8835818373815,3028.608319046652,-857.8042585100537,-784.5694819773504,-189.6818355567077,5737.580289520237,-336.1352262815715,-399.38270772615635,-3723.894434247411,-1674.375179226778,-326.13938803421735,-669.7741769484364,594.7772685022618,2616.8012005436885
