t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.3999999999995,152.78342452300123,-65.39106080347128,-120.31911146738771,-126.99067317728672,-11.223643075631506,-1707.3487429115353,-18.310968305983952,-25.45407135261063,-4.385915200649395,-26.44228854435955,-45.06447564167862,-33.12545181761537,1794.9006220421627,-60.99736104830161,-55.50973242470025,-14.214520907394075,237.26749731716373,-25.18977815459675,-29.929604675978343,-180.86708007932893,-72.19281155729618,-21.15499837111431,-46.90653718944678,48.13187702550755,196.37603328966287
24.0,274.7999999999992,362.96622812057933,-155.72897291201429,-297.09242544304186,-307.082886543661,-25.926022148549748,-3934.4584725394807,-29.652100231846802,-58.87587250742304,-12.037664830164761,-46.35010822861299,-108.77578559358042,-76.90558042832744,3715.8458750701584,-141.28818689102138,-128.61194151523634,-32.83433025386359,592.0191125448292,-58.186821005434666,-69.13578023116945,-447.02990200691414,-181.4898938625554,-49.25478161439519,-108.73936759331467,121.79327338284088,453.58209244675356
36.0,277.1999999999995,637.8336520349183,-270.04124325714963,-539.1174354677278,-546.3724898319691,-43.3768646871701,-6635.9928809773855,-23.42487918944509,-96.4507598218714,-24.013217085199937,-49.5752765495998,-191.48411731444423,-129.6496491866169,5498.6759673436645,-237.36821539136494,-216.15932987564779,-54.93418252421792,1087.6289569868343,-97.35195355565298,-115.67112095107467,-812.573720088405,-331.6199240456671,-83.38773031155999,-182.9112477288111,226.35547535750575,758.8044553736628
48.0,279.59999999999957,986.488316580478,-403.3017572491456,-849.9160716901787,-849.2855890789525,-62.534428436801235,-9720.731929979675,10.143771649512713,-133.01942571128563,-40.98719483527377,-29.092793588145106,-290.0501222778027,-188.68092905772198,6866.656934573363,-343.9737130816837,-313.39741856129655,-79.19436778971884,1736.0881331889361,-140.3469568304931,-166.75763855619465,-1284.4658851869542,-520.4507383181171,-121.9884233037118,-265.46649725124087,365.7206916093553,1093.7729450212732
60.0,281.9999999999997,1410.9869638244177,-545.4831060185593,-1227.53436967472,-1216.4487472520823,-82.40202106286641,-13101.376815168902,76.06644715390496,-164.48541708585412,-63.06193218662839,17.539627587915696,-396.2515028080059,-251.30818734357302,7617.558702214175,-455.9383298652373,-415.64713637254164,-104.35243795593333,2534.8736270307663,-184.9348249413241,-219.73748834008106,-1862.1806677952125,-741.6635231997038,-163.42874663483474,-352.4901537240092,539.2253859998856,1441.0096037975377
72.0,284.40000000000026,1885.2176457086236,-678.983806847968,-1661.1770261283746,-1556.9517439070867,-101.25997619430238,-16617.74695894415,165.53659158474053,-186.01625809902106,-89.85858119516628,83.12407748659247,-495.6007008929123,-313.0841781534882,7577.708424032378,-564.5444330366446,-515.0320169440395,-128.23194265583209,3470.9578830347427,-227.2567748410439,-270.0249877186526,-2529.57133490938,-972.9523468782508,-205.09453793958525,-437.42279278765983,705.6334004707583,1770.4169162951525
84.0,286.79999999999984,2305.8481220289814,-777.4784647080365,-2117.9527783401627,-1618.032997186913,-115.43198240784285,-19870.99112318309,238.62782698503474,-191.74775831561666,-120.02507413457853,145.57076081698827,-568.4293611727959,-364.4515285510226,6475.485713096884,-651.1053798766551,-594.6636098584705,-146.1798219115076,4471.0103410215725,-259.06336194787673,-307.8168290978404,-3189.5518035114947,-1159.9340725750892,-241.3473591826341,-506.1917211970464,782.1562626937971,2017.706229371596
96.0,289.1999998610402,2659.6713607804454,-845.6933231675898,-2573.693929834559,-1679.3630431436875,-127.94586441272654,-23239.70242886075,305.39298905966723,-197.2844178779345,-151.99351564043508,216.11006187818438,-613.9810372673328,-412.08743804954514,4618.102968436328,-729.817257718962,-667.2569478165743,-162.02812519887493,4976.028369614232,-287.1487450036491,-341.1870435361888,-3355.0496150251315,-1340.43545045289,-275.6369163467177,-569.1930777841891,842.248691857934,2235.8370037446584
108.0,289.1999998610402,2970.943853209129,-864.1288668687934,-2942.370457375848,-1682.496208064358,-130.45721209806976,-26276.77800451829,373.46704200037834,-172.05557945182835,-180.91535442965142,310.81415241764006,-627.9023580492774,-433.8668145154955,2254.947579072253,-757.8262340675318,-694.0123436512955,-165.10407985333117,5312.152060075911,-292.7318606857986,-347.8784398683153,-3356.4197286685335,-1456.9507057566484,-294.8094227225502,-594.1033040775778,3258.107119189035,2177.735895074456
