t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.39999999999986,152.7857957202556,-65.39236942359162,-120.31952711527818,-126.99255418921949,-11.224066620053227,-1707.397586395511,-18.30994278069254,-25.455154256737927,-4.3858643761973735,-26.441790141534746,-45.0647766009423,-33.12671334341435,1794.9615678913747,-60.9992230064465,-55.5095913120666,-14.214517383384479,237.26576886658145,-25.190869875178134,-29.929874021153477,-180.86979183687254,-72.19700573507795,-21.15451422949888,-46.90731515992075,60.32991368783824,196.37598461146538
24.0,274.79999999999984,362.96909170362596,-155.73215347301257,-297.0934834408827,-307.0868996716749,-25.927088424447096,-3934.5815961552576,-29.648944245785383,-58.878809850745284,-12.03753191265784,-46.34762027046248,-108.77642625831604,-76.90874477331307,3715.9964935116695,-141.29285700485025,-128.6115457130021,-32.834314413485636,592.0139015688546,-58.18957123891204,-69.13644721243618,-447.0367608407749,-181.5016855958556,-49.25353453763016,-108.74130163733189,152.65932317432996,453.5818738067929
36.0,277.1999999999999,637.8347111284187,-270.0470992605666,-539.1195927321893,-546.3789389034669,-43.37883690000391,-6636.219693598833,-23.417823837513662,-96.45650732883777,-24.01298588470345,-49.56842706306428,-191.48527004458572,-129.65549480420677,5498.946576873751,-237.3768359572336,-216.15853994866904,-54.93414105584477,1087.6181768950103,-97.35704363258424,-115.67233525321467,-812.5866964762282,-331.64398137171,-83.38538732231645,-182.914795159998,283.7210546578086,758.803883246194
48.0,279.6000000000002,986.485649836023,-403.31065892708114,-849.9190768346964,-849.2947770222247,-62.53759970060267,-9721.090392481337,10.157002892840147,-133.0290681137888,-40.98678507580449,-29.079378925515332,-290.05145249235153,-188.69031444990713,6867.0810369192795,-343.9875441228649,-313.39605256908106,-79.19428148258727,1736.0667639762637,-140.35514664795758,-166.75955988754242,-1284.4861505691517,-520.4918214903146,-121.98459467127363,-265.47215078981014,458.40631235714136,1093.7717542578357
60.0,282.00000000000006,1410.98000074253,-545.4957006735918,-1227.5383557824432,-1216.4611813864108,-82.40667348633444,-13101.887621027237,76.08882699023349,-164.49998978606516,-63.06132884152891,17.561790771331317,-396.2529762427567,-251.32196966009326,7618.151012362536,-455.9586089481265,-415.64502006840877,-104.35228111619759,2534.8370446999097,-184.94684775476958,-219.74025892327177,-1862.209728726434,-741.726275812208,-163.42307085185377,-352.49840506115544,675.8831144340555,1441.0074402307441
72.0,284.4000000000001,1885.2021942022088,-678.9991934504441,-1661.181020618689,-1556.9522733082324,-101.265846813953,-16618.370214663177,165.56646052330203,-186.0354107352865,-89.85783439114202,83.153074074364,-495.60192819977124,-313.1017175578134,7578.4159774892805,-564.5699339107716,-515.028317683976,-128.23146209010682,3470.906134898732,-227.27201973532948,-270.0280332344216,-2529.606569508961,-973.0325474172557,-205.08684642332915,-437.4328272014451,884.4584799306515,1770.4102830236482
84.0,286.7999999999998,2305.82106517028,-777.4944150290182,-2117.9554367775313,-1618.0329970639448,-115.4384069966954,-19871.632079921616,238.6565431403734,-191.7706068843537,-120.02423279922655,145.6000245813348,-568.4297664130403,-364.47081307226676,6476.175437747238,-651.133283951438,-594.659187605511,-146.1791845276185,4470.93908075167,-259.08007453356805,-307.8199844292227,-3189.5759892711117,-1160.019366344137,-241.3387647846442,-506.2025853395211,980.3737444333075,2017.6974341264927
96.0,289.2000015176161,2659.633285847602,-845.7101330301136,-2573.695303541689,-1679.3630426485302,-127.95276553851292,-23240.33790806395,305.41863474024177,-197.31074640865324,-151.99261993472754,216.13671101127767,-613.9811386287523,-412.108285300788,4618.730494745912,-729.8473443941238,-667.2522328995851,-162.02741723847672,4975.927603199513,-287.166703316158,-341.19039579890585,-3355.049801331707,-1340.5222842348733,-275.62776096025067,-569.2048367811798,1055.6950329514425,2235.8272362522084
108.0,307.20000151761485,3164.3022689375434,-942.9955943548908,-2982.124728233085,-2093.4782696139073,-134.36643852750967,-26871.330616882922,414.08938828383003,-178.37185625317335,-196.6716003759706,351.3305366246095,-699.8167176753393,-441.67382156514606,3018.917956373963,-775.1173896628435,-708.5130618900978,-169.15545021325084,5722.381777649875,-301.2123788980275,-357.9265937864576,-3730.764907632506,-1530.1755882927393,-298.4044646053614,-606.623097144939,23870.161989464097,2232.779688692812
120.0,325.20000151761474,3798.93567537241,-1086.299661382254,-3350.8689251850546,-2551.9762597310346,-140.25791238571642,-30573.13931818097,553.5546355476007,-149.7478880758275,-257.1661165929128,511.2236639198593,-832.6360470696868,-469.5660630010256,1673.8102191720147,-817.3913302303156,-746.9310624943956,-175.50572697259997,6516.6672020942815,-314.0451991267815,-373.2274119226934,-4161.894526998307,-1739.7168881976056,-320.0710070904369,-641.7243676659147,49348.824828615885,2213.1641517591443
