t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97199999999975,152.60043611247352,-65.15362865818783,-120.25648671119426,-126.91358257380219,-11.209493772047894,-1704.7381488025765,-18.18698486586538,-25.35564661723159,-4.035680471096873,-26.4512120503785,-44.85307008022979,-33.08770838689626,1790.0217942858574,-60.92352521848974,-55.441419174146,-14.195828477580088,236.9636872750841,-25.157026215024995,-29.89047621650633,-180.77659850434264,-72.05667919876721,-21.13181933541801,-46.85033758258961,55.72931058386104,196.1177646395274
24.0,271.9439999999995,361.3592887878068,-154.29200778994584,-296.6207696657699,-306.43145744307196,-25.836639575930704,-3920.5558664563077,-29.10086076401655,-58.361688959942825,-10.325013141029807,-46.45161261410259,-107.50171031525633,-76.66504637712447,3692.144512540083,-140.82327540677625,-128.18720863225127,-32.71917899007292,590.1172578842687,-57.98370081339858,-68.89389967295254,-446.33825486595777,-180.59569976733377,-49.10824768051588,-108.38634943014338,140.72554685257327,451.99104429707717
36.0,272.91599999999966,631.4407878806378,-265.2433012762231,-537.3668420936623,-543.85775599804,-43.09529365223926,-6596.69623590579,-22.326639545645794,-95.05075813122765,-19.384599423294745,-50.21295334882913,-187.19798613855156,-128.88336061801917,5438.645847740887,-235.89823110060962,-214.8204952317989,-54.57398350126134,1081.1652030875275,-96.71536212494532,-114.9137365156684,-809.9906518616941,-328.4945907031874,-82.91927532314558,-181.79415855665752,260.55341947031025,753.8276707402435
48.0,273.88799999999924,968.6105284667061,-390.71971991864353,-845.2062361159225,-842.2226791498289,-61.88050654064818,-9636.199289911063,11.15572701345551,-130.2099940247839,-31.342545373790827,-31.58970191655163,-278.6553477731017,-186.8897982279802,6753.3993840605635,-340.5515277970308,-310.28451799730374,-78.36049838170396,1719.1674718059865,-138.87191106559843,-165.00338065061402,-1277.451787155632,-512.1863006771451,-120.89070665929087,-262.8642728859241,417.9565409692029,1082.2522270752768
60.0,274.85999999999905,1368.5958182064894,-516.4051093386203,-1216.7487970172372,-1195.3710695004618,-81.0499263083275,-12937.69341104255,74.33901553676627,-159.67330849013004,-45.854659342799536,10.065930040350205,-369.62642204570597,-247.62163677937667,7431.556343651922,-448.88374919507186,-409.2386002029818,-102.63212912851897,2496.9076671470903,-181.88967883687994,-216.11676268429633,-1845.7028243240743,-722.2785720828603,-161.17820653323912,-347.1314342286272,605.4499583169215,1417.244027697662
72.0,275.83199999999954,1758.6580162326745,-614.4337351012149,-1630.6006066566395,-1344.6500268358643,-96.5322108458489,-16087.730048200441,140.93113354769463,-172.54867695175798,-62.2388306844031,57.57813222057597,-439.61707764472254,-300.8563826856256,7092.332926777133,-540.5639757796054,-493.34587917074055,-122.23727677839868,3407.303870273167,-216.63467319647094,-257.3998305224335,-2479.555220631274,-905.8345829909601,-197.9003301566168,-419.3747078152678,717.2750365666701,1687.6083383634848
84.0,276.8039999999995,2078.002743560211,-670.7849604828518,-2056.8267435505286,-1369.1090888972155,-107.75623843000116,-19074.63052819727,197.08112537776242,-175.43803742992583,-78.93621694124928,111.70340048677248,-475.641388916312,-344.2163945051512,5866.215916664244,-611.7959303001392,-559.0886808775874,-136.45160272617355,4274.256861086621,-241.8243830254943,-287.3291098737775,-3030.333270887378,-1058.5877665697149,-229.2889224102172,-476.5151973664165,771.2922641868037,1883.3464256260677
96.0,277.77599999999904,2342.8782434043287,-701.2700447812697,-2465.0904572991353,-1394.500271917473,-115.3626272379485,-21938.34457702792,252.71097322052773,-170.368030412158,-95.2136722705048,176.74042231962426,-492.35098861516883,-380.04014356236155,3703.300327760195,-666.5083413737077,-610.0814750218301,-146.08495494807875,4644.686439935346,-258.8954881220224,-307.6120728696225,-3078.258083454184,-1190.460366409133,-256.99963436749385,-521.6778336927285,798.6726894673524,2015.6746049921333
108.0,278.7480000046021,2545.6927997003713,-723.5657481141676,-2815.0197921111558,-1420.750072922535,-121.15736671066743,-23765.387005079527,436.9151871125243,-163.08506434728503,-110.94780200957268,375.6935178767058,-504.1520960581148,-420.08532790960334,-511.1366420424803,-720.9434705220817,-661.6830528050493,-153.4241068457813,4825.129087945544,-271.90084650329305,-323.06426334016834,-3101.5386939367263,-1440.3348471933423,-290.864032151192,-568.837629314608,815.2424947858876,2116.213079953912
