t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.828,152.9604219396157,-65.619309600828,-120.38050853159002,-127.06455690790395,-11.237602874475314,-1709.8585042169677,-18.435649944408013,-25.54963709815858,-4.716339887435102,-26.441415803298934,-45.26734029297287,-33.16266159423026,1799.6296701518675,-61.06884356337743,-55.57387040068059,-14.232903197753968,237.56489081411144,-25.221120401823505,-29.96620743197906,-180.95385221609635,-72.31901353874329,-21.176430129994962,-46.959690043741176,24.13124504866797,196.63001703957636
24.0,277.65599999999995,364.49339497018246,-157.06394781813168,-297.55118131674044,-307.70790766527267,-26.01287128920036,-3947.856593872573,-30.207725931013226,-59.375830810630944,-13.574834047175354,-46.29878176614728,-109.95321309585249,-77.13984710040697,3738.7662042704806,-141.73712929576382,-129.0171044761742,-32.94610382374438,593.8277384182959,-58.38177024092878,-69.36579722247669,-447.69663014607363,-182.31113572411311,-49.394165770979264,-109.07723705966768,61.17130279796867,455.1264760137186
36.0,281.4839999999999,643.7374761127747,-274.327441571596,-540.8018569011732,-548.7336733913368,-43.64624449224978,-6673.605218938259,-24.580714470176588,-97.81390078469826,-28.004802731254625,-49.1510508524429,-195.28197511636523,-130.38610590936727,5556.324863672298,-238.77176654614064,-217.4287165100695,-55.278656743887225,1093.6174257949567,-97.95658586761424,-116.38651884970334,-815.04224235916,-334.42383018064396,-83.83268687107322,-183.97281060556247,114.03199753127073,763.5640083024941
48.0,285.3119999999998,1002.4121797666745,-414.02280376171086,-854.3703930048347,-855.5989357648103,-63.14377544588215,-9800.281873218548,8.792459241483535,-135.76048216814416,-49.06232208585463,-27.302900303043266,-299.66684708641907,-190.36340113057886,6974.003455243342,-347.166362054259,-316.2881368323688,-79.97141939398412,1751.3144890763508,-141.7146001521823,-168.37777162544015,-1291.045116997447,-527.6154206770362,-123.01422261648695,-267.88800199380097,185.18887610870829,1104.5088064393035
60.0,289.1399999999997,1446.637106410001,-568.9929187393055,-1237.3359518863124,-1231.6331087061328,-83.57000153386987,-13246.562142985224,76.23631965969305,-169.0548645646932,-77.19789011734544,22.91100986377503,-417.6449659816222,-254.54793776059202,7785.581165153629,-462.07403150568894,-421.2057721091732,-105.83941005100266,2568.2168607846324,-187.5561719856592,-222.84495572616208,-1876.9352705868223,-757.3279880706594,-165.41282919498113,-357.15046478609014,275.72246346486565,1461.5520592478956
72.0,292.9679999999997,1972.3246844684159,-727.1683979912539,-1682.9770898481752,-1668.6568324438488,-104.10471757390684,-16944.229047563622,177.1818875982185,-195.27960377221865,-112.24130021054135,100.24632133096475,-538.6323165638156,-320.6432415800685,7874.007543307752,-579.161558493664,-528.249590876877,-131.84396600686043,3529.727109527932,-233.64059611400052,-277.60099620405526,-2564.534975927125,-1015.1078048330252,-209.6068147532005,-448.45674251486184,381.06446793201627,1820.312999408284
84.0,296.7960004489428,2497.728846638118,-866.6166454991672,-2165.999008853759,-1866.5736808646202,-121.18464912409162,-20516.095245067434,276.10277711910265,-205.48931748026192,-153.64025563598608,179.97403182437927,-647.1484499112182,-379.7499970826413,6956.890638622337,-680.6820609636085,-621.4171508999729,-153.4748340721067,4609.062706559476,-271.972744086304,-323.1455267071853,-3294.567033227062,-1244.9243473173547,-250.49642787076007,-528.5331909302303,445.3306704078165,2118.463564068358
96.0,304.0920004489423,3040.106188917379,-957.359505548281,-2613.296357257717,-2044.0432402893907,-126.40665618853077,-23642.420791928507,373.2369297251501,-173.96858889304244,-199.9851615370359,288.3151507401844,-728.5794523425052,-407.22892574195527,4968.418206893769,-720.9948674342779,-658.9162503985445,-159.7379251020489,5445.55849715558,-283.42723810911065,-336.88590453603354,-3700.1167792850406,-1398.5636955197313,-272.5426251732738,-562.360384251472,6530.205671313751,2114.2803718444147
108.0,311.3880004489423,3579.6038726347106,-1047.1276296080207,-3011.858161141229,-2228.9386049375566,-130.73539456402438,-26720.958576512992,473.3419493520974,-140.63839401307376,-249.26569568092754,403.14083264227395,-810.6435242196613,-432.0742192840797,2843.0890149315087,-756.4649574119535,-692.0272338406608,-164.89365944780266,6016.586052894409,-292.8950941468197,-348.2569256795228,-3878.1154091136223,-1550.8762326535234,-292.89857809497164,-592.4615438365283,12197.529562150634,2088.464290378762
