t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.828,152.9604219396157,-65.619309600828,-120.38050853159002,-127.06455690790395,-11.237602874475314,-1709.8585042169677,-18.435649944408013,-25.54963709815858,-4.716339887435102,-26.441415803298934,-45.26734029297287,-33.16266159423026,1799.6296701518675,-61.06884356337743,-55.57387040068059,-14.232903197753968,237.56489081411144,-25.221120401823505,-29.96620743197906,-180.95385221609635,-72.31901353874329,-21.176430129994962,-46.959690043741176,24.13124504866797,196.63001703957636
24.0,277.65599999999995,364.49339497018246,-157.06394781813168,-297.55118131674044,-307.70790766527267,-26.01287128920036,-3947.856593872573,-30.207725931013226,-59.375830810630944,-13.574834047175354,-46.29878176614728,-109.95321309585249,-77.13984710040697,3738.7662042704806,-141.73712929576382,-129.0171044761742,-32.94610382374438,593.8277384182959,-58.38177024092878,-69.36579722247669,-447.69663014607363,-182.31113572411311,-49.394165770979264,-109.07723705966768,61.17130279796867,455.1264760137186
36.0,281.4839999999999,643.7374761127747,-274.327441571596,-540.8018569011732,-548.7336733913368,-43.64624449224978,-6673.605218938259,-24.580714470176588,-97.81390078469826,-28.004802731254625,-49.1510508524429,-195.28197511636523,-130.38610590936727,5556.324863672298,-238.77176654614064,-217.4287165100695,-55.278656743887225,1093.6174257949567,-97.95658586761424,-116.38651884970334,-815.04224235916,-334.42383018064396,-83.83268687107322,-183.97281060556247,114.03199753127073,763.5640083024941
48.0,285.3119999999998,1002.4121797666745,-414.02280376171086,-854.3703930048347,-855.5989357648103,-63.14377544588215,-9800.281873218548,8.792459241483535,-135.76048216814416,-49.06232208585463,-27.302900303043266,-299.66684708641907,-190.36340113057886,6974.003455243342,-347.166362054259,-316.2881368323688,-79.97141939398412,1751.3144890763508,-141.7146001521823,-168.37777162544015,-1291.045116997447,-527.6154206770362,-123.01422261648695,-267.88800199380097,185.18887610870829,1104.5088064393035
60.0,289.1399999999997,1446.637106410001,-568.9929187393055,-1237.3359518863124,-1231.6331087061328,-83.57000153386987,-13246.562142985224,76.23631965969305,-169.0548645646932,-77.19789011734544,22.91100986377503,-417.6449659816222,-254.54793776059202,7785.581165153629,-462.07403150568894,-421.2057721091732,-105.83941005100266,2568.2168607846324,-187.5561719856592,-222.84495572616208,-1876.9352705868223,-757.3279880706594,-165.41282919498113,-357.15046478609014,275.72246346486565,1461.5520592478956
72.0,292.9679999999997,1972.3246844684159,-727.1683979912539,-1682.9770898481752,-1668.6568324438488,-104.10471757390684,-16944.229047563622,177.1818875982185,-195.27960377221865,-112.24130021054135,100.24632133096475,-538.6323165638156,-320.6432415800685,7874.007543307752,-579.161558493664,-528.249590876877,-131.84396600686043,3529.727109527932,-233.64059611400052,-277.60099620405526,-2564.534975927125,-1015.1078048330252,-209.6068147532005,-448.45674251486184,381.06446793201627,1820.312999408284
84.0,296.79599999999976,2497.728834104457,-866.6166525196925,-2165.9990115249907,-1866.573686731454,-121.18465066337548,-20516.09523909739,276.10277101690747,-205.4893226657882,-153.64025557703,179.97402178127314,-647.1484541293363,-379.75000110141724,6956.890567393067,-680.6820688183645,-621.4171580282894,-153.4748360570477,4609.062503304952,-271.97274756776966,-323.145530830459,-3294.566835560615,-1244.9243508605741,-250.49643023387807,-528.5331968452317,445.33006129140756,2118.4636025944023
96.0,300.6240000000003,2965.198241635561,-973.1493531096662,-2655.4906758103493,-1963.7767902300814,-135.97016819961533,-24097.292190895867,362.5598342387184,-211.20357824709993,-199.32384867266532,262.55912615480923,-726.9039978970139,-433.83184566129506,5127.620594024375,-771.4803083810889,-704.9850296124031,-172.20060690904387,5315.472791858113,-305.1560891552231,-362.5722347724103,-3630.8807728635247,-1457.4361715498367,-288.8080536128682,-600.7679124717522,489.503215041046,2376.3064816622636
108.0,304.4520001119747,3369.3617095608197,-1056.552875986565,-3107.784077771985,-2062.0512622905953,-149.77270413875695,-27956.28109031154,445.0385613001286,-219.826794315624,-247.78039779105558,358.18841237183034,-785.3104099475117,-485.8833665030128,3028.430042853087,-857.807376709745,-784.5627331686375,-189.68185333172727,5737.579549891941,-336.13362638938446,-399.37796266263257,-3723.894510141789,-1674.3537717969073,-326.1376380233495,-669.7655267233579,523.5376530614998,2616.801445388519
