t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000002,152.78065996692274,-65.38881429981029,-120.3189807883948,-126.98896211452781,-11.2229355696412,-1707.266480429562,-18.312857312178387,-25.45226215192103,-4.386000353492109,-26.44468764117368,-45.06397016669902,-33.12492412141394,1794.7978125986388,-60.99494761479636,-55.50807460249153,-14.214526956066445,237.2703718439965,-25.188837343272176,-29.92738923702457,-180.86273790130542,-72.1865113121099,-21.154043674949765,-46.90473324994788,27.318267455273393,196.37611684230552
24.0,274.80000000000007,362.96412868425045,-155.72361369903632,-297.0922440109784,-307.07977828167304,-25.924251319027885,-3934.251880164698,-29.657802258559197,-58.87102455604783,-12.037898528261783,-46.35807643267797,-108.77479666584107,-76.90433044898931,3715.591563113487,-141.2822135266776,-128.60787064735118,-32.834370197823304,592.0281098541675,-58.184484022609205,-69.13022613263843,-447.01913879479525,-181.47222514983036,-49.252430404751046,-108.73491207597588,69.12629018784554,453.5826442521096
36.0,277.1999999999999,637.8367980195537,-270.0318735215617,-539.1175322679184,-546.368506319286,-43.37358451127558,-6635.61448275812,-23.437030988971024,-96.44124578814014,-24.013694517781015,-49.59304863146189,-191.48285000678138,-129.6474142619092,5498.2117555621735,-237.35722914638706,-216.15187411008216,-54.93427064324522,1087.6494395670788,-97.34763480213643,-115.66082774073885,-812.5543566071373,-331.5842197859014,-83.38343704378417,-182.9030686793341,128.4724385753378,758.8056723550925
48.0,279.59999999999985,986.4996897657625,-403.28679772207147,-849.9160820336766,-849.2806686679271,-62.529119296913414,-9720.131508019744,10.120836800943115,-133.00340618181306,-40.98793885940388,-29.12591026401061,-290.0482707471125,-188.67735191824795,6865.934570083237,-343.95597320282,-313.385387440893,-79.19449830492145,1736.125567922645,-140.33995799932885,-166.7409828813385,-1284.4345502314907,-520.3885666534215,-121.98153052178574,-265.45330469915126,207.57114493734923,1093.7747462219427
60.0,281.9999999999998,1411.008463468886,-545.4615134769127,-1227.5344415601219,-1216.442742685876,-82.39420609571876,-13100.51735285864,76.02786635821485,-164.46107295394094,-63.062983498340536,17.486372268477567,-396.2492135020046,-251.30303281701424,7616.549728769655,-455.91232564131576,-415.6295429304417,-104.35264679075537,2534.9356317870865,-184.92453475852372,-219.71296538612276,-1862.134951804319,-741.5675429185069,-163.41868966870086,-352.4708379145349,306.0461565214645,1441.0124843650194
72.0,284.3999999999998,1885.252693520314,-678.9567910937315,-1661.177867146537,-1556.951544008301,-101.24988983491642,-16616.673110786433,165.483930523591,-185.98346403437245,-89.85987136827765,83.05299342023008,-495.59869133162056,-313.07793312302425,7576.482368882157,-564.5112524979952,-515.0097741806442,-128.23239365295422,3471.0459845372693,-227.24362403721923,-269.9932710879042,-2529.5145062033084,-972.8265865547878,-205.08172785447024,-437.39818857036664,400.49518684214934,1770.4231381990649
84.0,286.80000000000007,2305.899971511742,-777.4501282603308,-2117.955059382892,-1618.0330511429538,-115.42091219237794,-19869.878103939493,238.57643418535775,-191.70884634764568,-120.0264409321602,145.49636495671294,-568.4285435866169,-364.4451673963344,6474.288692406113,-651.0694352529188,-594.6397354015621,-146.18046109031582,4471.124408841755,-259.0490318025308,-307.78196617229435,-3189.5081591848593,-1159.800037947272,-241.33360372868245,-506.16514490268577,443.9275247437006,2017.715045249588
96.0,289.2000000091296,2659.7407444289147,-845.6635583238356,-2573.6978768994536,-1679.363078942032,-127.93398974865896,-23238.59132263024,305.34659146272116,-197.23973199491317,-151.99490136994987,216.03757845492387,-613.9808221212054,-412.08097041577713,4617.024150569372,-729.7790481381647,-667.2317132204851,-162.02887181918572,4976.193420066488,-287.13341727361586,-341.14962495938073,-3355.0492394763187,-1340.2991514687885,-275.6224371812339,-569.1648984660944,478.03452042754265,2235.847301980004
108.0,325.2000000091302,3245.5705797408523,-977.464661092111,-3004.6449695859837,-2214.4029164117783,-134.62984933858803,-27012.212233998303,425.7975704560804,-178.00570462399654,-206.62735838425797,368.54812514868127,-734.2623348681985,-442.3184049864554,3293.3587111878387,-776.5024462270229,-710.6258592496378,-169.8750779336361,5982.730422424144,-301.93901931248854,-358.7712235730755,-3947.0528704831645,-1550.2220458946858,-298.8513512137683,-607.9103222732572,15042.860169587613,2242.7606044237627
