t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82799999999946,152.96558231989258,-65.620925126858,-120.38166124084327,-127.067758112653,-11.238392639567355,-1709.9800895866567,-18.43130236700774,-25.552454859269776,-4.716204100052688,-26.436716528714232,-45.26886390738052,-33.16384639700579,1799.7815576719836,-61.07008889364752,-55.5766902920618,-14.234412776803236,237.56063263363973,-25.22196817995809,-29.968162472197555,-180.95988434754796,-72.3287877262851,-21.1771121481159,-46.96280068501619,54.74797043824353,196.6299228247052
24.0,277.6559999999996,364.4990043130831,-157.06764178083907,-297.55403488805814,-307.71426677564443,-26.014860796062035,-3948.1638728958883,-30.195385089821762,-59.38345232826346,-13.574450460479827,-46.28390148102021,-109.95669672180148,-77.14277314218292,3739.143258178294,-141.7401777102352,-129.0241504291762,-32.94991467785946,593.8146695729257,-58.38389123753477,-69.37071979234629,-447.7118116795223,-182.33877063228366,-49.3958306235358,-109.08502964507726,138.78325994313045,455.1260184312707
36.0,281.4839999999996,643.7377502375238,-274.33370197543707,-540.8070193639735,-548.7431292277793,-43.649946817335355,-6674.171818882597,-24.55513402606772,-97.82887509986948,-28.00403337513148,-49.11828927163631,-195.28785505961082,-130.39147708863982,5557.011308893081,-238.77734989423618,-217.44175498955175,-55.285752590156555,1093.5885488815259,-97.96052529535277,-116.39567813442613,-815.0702968644622,-334.48031156441357,-83.83571386195044,-183.98724587576615,258.71310862370177,763.5630430058712
48.0,285.3119999999998,1002.4032208902147,-414.0322022541436,-854.37868476462,-855.6121970061631,-63.1498115702766,-9801.1865364968,8.838861612462187,-135.78584030779308,-49.06103198274619,-27.242823696119363,-299.67558521064893,-190.3721105267423,6975.081977591322,-347.17547429492214,-316.30934481536,-79.9829728503478,1751.259952059147,-141.72105049975823,-168.39270904873533,-1291.0904886713724,-527.7142242676991,-123.01909999045,-267.91146045815606,420.15495955641865,1104.507650029381
60.0,289.1399999999999,1446.6180101681907,-569.0055166326841,-1237.3480210500243,-1231.6513973880794,-83.57897044276888,-13247.868820062176,76.31308636796074,-169.09365299226573,-77.19597508232434,23.008243016887743,-417.6566135391241,-254.56077236500067,7787.100960471838,-462.08742083472373,-421.23717933437973,-105.85658869545155,2568.124074846551,-187.5657350093283,-222.8671473153283,-1877.002163048334,-757.4827203560292,-165.41997775810307,-357.1852366583976,625.5589871863324,1461.550021416734
72.0,292.9679999999999,1972.295138037461,-727.1826528785182,-1682.9927470232344,-1668.6793074228895,-104.1169849629942,-16945.95647305828,177.2962454641151,-195.3343267276817,-112.23871540438746,100.38671070935793,-538.6454900724482,-320.6605327708066,7875.9509153109975,-579.1792981716803,-528.2922949544273,-131.8675455868611,3529.582834107339,-233.6535251924468,-277.6313245350519,-2564.62450197915,-1015.3265337787376,-209.61638417654297,-448.5041948984653,864.5566207455859,1820.3079448422295
84.0,296.79599999999937,2497.674797219432,-866.6262299417978,-2166.013524240677,-1866.5737213503623,-121.19848848311068,-20517.964514005624,276.2273167954907,-205.55593131756228,-153.63730607621568,180.13343788726309,-647.1576700869965,-379.7686998968923,6958.898898745225,-680.700054509483,-621.464561773155,-153.50176112571057,4608.8753738401465,-271.98673884370726,-323.17964500206386,-3294.6522260997676,-1245.1709384057463,-250.50663646780202,-528.5865313183489,1010.3495776329261,2118.4489879196976
96.0,300.623999999999,2965.112437073621,-973.1537614629966,-2655.5021481838435,-1963.7768193243392,-135.9851869492453,-24099.18782230208,362.6792739817505,-211.28207577991463,-199.32060416164597,262.72381139918315,-726.9083559302734,-433.8515212017844,5129.465719136687,-771.4987242762542,-705.035875234204,-172.22996000862472,5315.1779774650995,-305.17103820165426,-362.60922173756654,-3630.8816725540296,-1457.6949899671067,-288.8185985830068,-600.8254238908366,1110.564186451097,2376.287077696661
108.0,304.4520007420168,3369.2459003348395,-1056.5543879325,-3107.7915379265382,-2062.0512956122047,-149.78861330991694,-27958.126267837462,445.1440047310895,-219.91648388009662,-247.77677636074006,358.34781749211857,-785.3121465515961,-485.9036083753068,3030.0161438199643,-857.8258895082856,-784.6160056373972,-189.71305252469068,5737.27359178707,-336.1492696960725,-399.41711115857265,-3723.89500347907,-1674.6125029739667,-326.14827851259787,-669.8260462694751,1187.7775044950156,2616.7779965720833
