t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000009,152.79949053339743,-65.39430062260318,-120.32187501872261,-127.00317758421731,-11.226445931934942,-1707.674070282678,-18.30491414188725,-25.458528866893637,-4.385577942673652,-26.43428054649861,-45.06737522983279,-33.13008460324608,1795.3061106085172,-61.00335348103435,-55.517949220781325,-14.215395168281528,237.25596172956247,-25.193358207042053,-29.935102417335823,-180.88324544407337,-72.2197117807108,-21.156401362224308,-46.91801280542176,130.0451605593907,196.3757562660725
24.0,274.80000000000086,362.987305288839,-155.73606217538193,-297.0991054199491,-307.1098009167617,-25.93306305854704,-3935.2752023504186,-29.632746356078272,-58.88826753445909,-12.036758190858555,-46.321919445535066,-108.78210718292404,-76.91704823849842,3716.8445820249453,-141.3029673185862,-128.63237567566674,-32.83647726403688,591.9832795306673,-58.19576446505853,-69.14955451419692,-447.0703206941106,-181.5654351738249,-49.2581316285784,-108.76808741439734,329.06849534893786,453.5804907316639
36.0,277.2000000000008,637.8448222863371,-270.05295752767415,-539.1296154268318,-546.4158342263752,-43.38992582353859,-6637.4935119898955,-23.381321310841695,-96.47574513149006,-24.01149213137415,-49.509494849915065,-191.49444956070738,-129.67072455975014,5500.483837662053,-237.39538610408334,-216.19702032093417,-54.93814147106577,1087.5503505581523,-97.36851989548761,-115.69665519581702,-812.6483897883764,-331.77349470518385,-83.39374482432932,-182.96435640480044,611.5870994618331,758.8010473210818
48.0,279.6000000000006,986.4787187025756,-403.318443222079,-849.9349871389561,-849.348812678574,-62.555532126645424,-9723.110452267063,10.227790492478734,-133.06226269180448,-40.98438633538841,-28.969370935153908,-290.06457417082333,-188.7147680259727,6869.477145362894,-344.0174019820167,-313.4581039480177,-79.2007649429972,1735.93946428639,-140.37372463712438,-166.79889628010017,-1284.585202923688,-520.7160066540198,-121.997927695239,-265.55209370150783,988.1485010667068,1093.767450979494
60.0,282.0000000000007,1410.9505664552767,-545.5039662452189,-1227.5608313064263,-1216.5341440296916,-82.43303722979138,-13104.775882270487,76.20994347632015,-164.55122799690838,-63.05790426254697,17.73861617238224,-396.2692495138045,-251.35758366378195,7621.496873277606,-456.00200175653947,-415.7359169786488,-104.36174379256198,2534.623015387798,-184.97406839610258,-219.79805405718045,-1862.3534399912953,-742.0707745632996,-163.44236979329747,-352.6157402534063,1456.9500957772227,1440.9997649660897
72.0,284.40000000000066,1885.1229081169809,-679.001374724773,-1661.204546062502,-1556.9551000451197,-101.29907996869682,-16621.895221857154,165.7277830003735,-186.10302642451524,-89.85367400425983,83.3850724951438,-495.6168784035475,-313.14482946118346,7582.405420199096,-564.6200839857341,-515.1412486301132,-128.24224388952416,3470.605737603384,-227.3048007070052,-270.1002881355388,-2529.7810025506137,-973.4728401157195,-205.10995851228066,-437.58132163313746,1906.4778425967434,1770.3781376180996
84.0,286.80000000000075,2305.6709398820885,-777.4859244957345,-2117.972100935263,-1618.0330144768463,-115.47463889531141,-19875.256570269667,238.81019960056793,-191.85460986005197,-120.01958108384825,145.84208996500558,-568.4365252208015,-364.5161987897198,6480.064306860271,-651.1849685907836,-594.7807570291118,-146.19036933890993,4470.54291067613,-259.115052354982,-307.8984612521182,-3189.702733673728,-1160.486994848756,-241.3626272835101,-506.36403835433526,2113.2151570572155,2017.6512389048391
96.0,289.1999997719357,2659.4122503877657,-845.6953170313512,-2573.7031984966443,-1679.363037515085,-127.99135374423156,-23243.92143541347,305.55338234849165,-197.4105299577769,-151.98764427567997,216.3714494274065,-613.9835170247449,-412.15527874837716,4622.262701570662,-729.9000599963853,-667.380411101894,-162.038920519179,4975.375464768255,-287.20340964343796,-341.27376251182983,-3355.050760894498,-1340.996159667979,-275.652033310411,-569.3762897471024,2275.5588451293647,2235.770052585475
108.0,289.1999997719357,2970.6635693001017,-864.1674416150282,-2942.4580527701905,-1682.4979864880167,-130.6338532567755,-26289.58695288399,373.9841519901387,-172.43579984775212,-180.89142939028153,311.505316364848,-627.9400333740278,-434.1438051180476,2263.8551357813767,-758.1644255504093,-694.5066093229628,-165.14806646370008,5309.904828534157,-292.9459204109251,-348.2162940828044,-3356.440752670922,-1458.8087834956705,-294.8813985595503,-594.8261637039898,8765.170367352772,2177.5219817342513
