t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.8279999999991,152.9820693358944,-65.62562930930648,-120.3842017271316,-127.08148461555773,-11.241357167340421,-1710.3262599358866,-18.425425300029712,-25.55708371103101,-4.715817277077652,-26.42705277096347,-45.2721873164684,-33.16842915443253,1800.2133930952934,-61.07820911740748,-55.58384300500919,-14.234826903723512,237.54839334193016,-25.227459597663554,-29.974677172572942,-180.97653264381773,-72.35603311513901,-21.17797321503163,-46.975057830031766,141.57204648828252,196.6296506090002
24.0,277.6559999999992,364.5201567325966,-157.0784400318546,-297.5602125201488,-307.74413422451397,-26.022330942273328,-3949.0360819161815,-30.176208036114257,-59.3963980216951,-13.573355885418671,-46.250880539162466,-109.96407595548584,-77.15414984701057,3740.2110037850052,-141.76041043205993,-129.04195247033732,-32.95090769671066,593.7766954783772,-58.397711155694914,-69.3871147836636,-447.7536014397871,-182.41596625058796,-49.39782080321428,-109.11580560613247,358.8795575464151,455.1245442961382
36.0,281.4839999999992,643.7479438039804,-274.35217121199713,-540.8181161221077,-548.7918392046164,-43.66385526059552,-6675.779576036179,-24.511117034749095,-97.85506233147832,-28.00183615719652,-49.04220666230567,-195.2999819335248,-130.4124611686219,5558.9532201447055,-238.8148002529352,-217.47468260287945,-55.287581898044905,1093.5042128321259,-97.98624928927089,-116.42619530843693,-815.1475151973318,-334.6385914203853,-83.83921823157996,-184.044372460418,669.0141013810086,763.5599937559098
48.0,285.3119999999994,1002.3916737801641,-414.06022684662827,-854.3963171030077,-855.6846036262151,-63.17243687572384,-9803.751272378933,8.92610083890371,-135.8309806952464,-49.05734224350307,-27.099254995405296,-299.6932420559968,-190.4060895325691,6978.127677176051,-347.236287800228,-316.3627950187059,-79.98599096942093,1751.099737064397,-141.7629110615382,-168.44236985997097,-1291.215103668012,-527.9916116069571,-123.02465140921953,-268.00418246462266,1086.50841305856,1104.503351961834
60.0,289.13999999999925,1446.5802685830458,-569.0440167498256,-1237.3734420505987,-1231.753119922158,-83.612610637847,-13251.575844740362,76.46739175667025,-169.16356603212662,-77.19048220422842,23.244710437348573,-417.6797613745661,-254.61103522525707,7791.39886325367,-462.17752192314646,-421.31634003588584,-105.86102353421163,2567.8506126421803,-187.62795648448142,-222.94096301507193,-1877.1855958204612,-757.9180186761002,-165.42796464286585,-357.3229044372525,1617.689868973538,1461.5428141970556
72.0,292.9679999999994,1972.2258916794276,-727.2291535459974,-1683.0250366457522,-1668.8000123111121,-104.16309536726197,-16950.857853870497,177.53589180583012,-195.43367028743077,-112.23129085783789,100.73076093259166,-538.6714641211145,-320.72878191729967,7881.455447526558,-579.3016580059336,-528.399721158922,-131.8731914675762,3529.158955359119,-233.7386614670932,-277.732323134492,-2564.8694130277204,-1015.9420200248419,-209.62661321767982,-448.6927722950346,2235.7092698076012,1820.2913217928485
84.0,296.79599999999897,2497.5146642371737,-866.6639475392457,-2166.0378939164534,-1866.5740078189285,-121.25030914259861,-20523.19515784988,276.48065050592476,-205.67678424544826,-153.62874189871818,180.51872923063596,-647.1751344492864,-379.8427664135287,6964.545694458928,-680.8322336076681,-621.5802973047007,-153.5057470803752,4608.334337539021,-272.0815992249973,-323.2921696493588,-3294.8802846308895,-1245.855300770983,-250.51510162298547,-528.7986766613232,2612.5807479883047,2118.3935262090386
96.0,300.6239999999993,2964.85420677438,-973.1827774245226,-2655.5163176326378,-1963.776985631101,-136.04172267992217,-24104.496237141753,362.91498493073857,-211.42896153731544,-199.31095685736818,263.1182594836343,-726.915878653906,-433.9309641275736,5134.703575998278,-771.6409893828239,-705.1602733401464,-172.23380359204214,5314.343555592239,-305.2743542643403,-362.73177463740615,-3630.884052447723,-1458.4144388317418,-288.82638648457316,-601.0561191451137,2871.7007752746977,2376.2187277489625
108.0,304.4520004301533,3368.8998720392337,-1056.5795907359584,-3107.7952026293037,-2062.051347355803,-149.84882030404873,-27963.29421405707,445.3408672084708,-220.088326190622,-247.76592278144543,358.7224904888244,-785.3148309043374,-485.9870965110477,3034.565564225479,-857.975924118865,-784.747057683016,-189.71683524673168,5736.404514769469,-336.25918701540724,-399.5474931208892,-3723.896349447596,-1675.332493372796,-326.1554064281484,-670.0709835716546,3071.3409003026272,2616.7004373788272
120.0,333.15600043015274,3995.737742940337,-1195.1486698057688,-3501.410929815792,-2690.1848566681415,-159.0100992812627,-32462.734915543682,608.2402727003439,-205.88210932391956,-312.3453852869857,566.7741308344914,-910.3525832256602,-521.2986480380964,1843.6327794008314,-912.7946948803079,-835.8170722507027,-199.13084803255643,6629.029828833999,-355.1925034982634,-422.7981921295724,-4292.475352831887,-1957.315855222106,-351.8634096552956,-719.0875878927131,76454.59880541268,2609.2577281565987
132.0,361.860000430153,4807.947246958059,-1391.6985708900868,-3891.4410134991695,-3394.848726756179,-167.99367524324143,-37144.82414691369,834.0356541977119,-180.76104717839758,-395.64068275555377,827.5082051134793,-1094.2730579771962,-555.4596570795783,1113.575264702841,-965.406976060304,-884.9058373241238,-207.9046811598834,7629.023982103815,-373.4183193844431,-445.3515068765218,-4961.605631365996,-2289.1734818076434,-376.642350216142,-767.2011148201395,163745.0650931328,2584.8422968435384
