t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.40000000000066,152.78456616147395,-65.38925880780471,-120.32004414580639,-126.9906709366088,-11.223841380608015,-1707.3726875632572,-18.30931325796359,-25.4534540638769,-4.385890384910802,-26.4434729118409,-45.06499152980095,-33.126022645095574,1794.9304364452898,-60.996554317857196,-55.51024904035932,-14.214888881571671,237.26664090553314,-25.188611424366645,-29.930490790021224,-180.87020285791877,-72.1961069783306,-21.155160714446026,-46.90783684299087,53.413721243279625,196.37599615143876
24.0,274.80000000000086,362.9680611147585,-155.7242920133857,-297.094737322207,-307.0826043893128,-25.926511129985503,-3934.517321990547,-29.64756171274325,-58.87432859460859,-12.037600016860784,-46.35253166867774,-108.77699308270898,-76.9069828148795,3715.9172819816963,-141.28607168361432,-128.61318117471976,-32.83524515449385,592.016450505586,-58.183839952994354,-69.13798829789741,-447.03773841834237,-181.49869350148657,-49.25516403257512,-108.74259847557451,135.15840614198848,453.5817742501928
36.0,277.2000000000007,637.8356911062868,-270.03241057444075,-539.1216394603473,-546.3715633012337,-43.377756733394975,-6636.098448144802,-23.41585314727011,-96.4479353744108,-24.013096779189414,-49.578824399090436,-191.48625862504448,-129.6521995960765,5498.801165275821,-237.3641867226227,-216.1615444786132,-54.93586169724374,1087.6230885518426,-97.34637565310567,-115.6751800596859,-812.5881257895638,-331.6370874096991,-83.38840293361602,-182.91717588198946,251.19460654244227,758.8035715489339
48.0,279.6000000000007,986.4902155156766,-403.2871469516841,-849.9225928833898,-849.2837121274705,-62.53585306564927,-9720.896332467819,10.159222330598142,-133.01497459269032,-40.98699100946843,-29.097417956033482,-290.0532726928181,-188.6849860128532,6866.849054605608,-343.96709895653925,-313.40089977009586,-79.19705974718597,1736.0767144046747,-140.33790732155367,-166.76415244206163,-1284.4887443884213,-520.4794304991426,-121.98946407780898,-265.47599115647654,405.8527378472815,1093.7712264424752
60.0,282.0000000000009,1410.9887202142738,-545.4608053424839,-1227.5434639062328,-1216.4453494471554,-82.40410286003693,-13101.608130180548,76.09019698197211,-164.47905537639872,-63.06162423338898,17.53363848890904,-396.2554226710904,-251.31409612086213,7617.8247947438895,-455.92845859400035,-415.65215897718235,-104.35638337233806,2534.8534441450656,-184.92144024681056,-219.74704265806213,-1862.2134177289854,-741.7064920970618,-163.43022822664113,-352.50405585528,598.3959135781646,1441.0067440988182
72.0,284.40000000000055,1885.219934111531,-678.9531745386269,-1661.1882439193434,-1556.9516206964915,-101.26271474693239,-16618.03853327752,165.56821094365088,-186.00845757655577,-89.85817706017015,83.11631799614143,-495.6043550725633,-313.09189791148765,7578.034619067256,-564.5315384218595,-515.0386055598566,-128.2371237392131,3470.926240205521,-227.2392916171041,-270.0375286926829,-2529.6123269109535,-973.00877931797,-205.0964490190733,-437.440990271051,783.0649794483979,1770.4134252985598
84.0,286.8000000000008,2305.8479500976377,-777.4422755170888,-2117.9637526437286,-1618.0329775175296,-115.43494719319,-19871.28456813105,238.65989890142976,-191.73982081839526,-120.02464623514263,145.5599196000891,-568.4313047565842,-364.4598382921454,6475.789738301132,-651.0906640506395,-594.6705247042473,-146.18547528531352,4470.959705148623,-259.04382400525947,-307.83054141009814,-3189.582309576659,-1159.993762652846,-241.3493057606979,-506.21155802910994,867.9837982378857,2017.7011246346742
96.0,289.19999952797406,2659.667175870157,-845.6530107683124,-2573.703956499923,-1679.3630532988188,-127.9489986788432,-23239.982906996098,305.4235528794935,-197.27674859188295,-151.99307339577385,216.09485419859044,-613.9818928954775,-412.0961594183717,4618.355344609211,-729.8010397319472,-667.2640508583002,-162.03413909645474,4975.941676424977,-287.12757516067137,-341.2016538806762,-3355.049829147359,-1340.4956804038056,-275.63884784640703,-569.2141402597301,934.6695319817122,2235.8304784755724
108.0,289.1999995446078,2970.9638351797676,-863.9771962950863,-2942.4115212358965,-1682.4962011968546,-130.46870610699085,-26277.617236401096,373.5822572632345,-172.01506619319426,-180.9136220588937,310.7374630650493,-627.910928103555,-433.8999668743471,2255.3673761963837,-757.7614385448315,-694.0380287262609,-165.12663537101005,5311.844327832311,-292.648675713193,-347.9332653308741,-3356.423719625439,-1457.1603993825456,-294.81692558804434,-594.1833567612686,3613.185120897284,2177.7025216179104
