t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.8279999999999,152.97887879409546,-65.6238834475875,-120.38636181141528,-127.08012781764843,-11.24152540402475,-1710.3455751129657,-18.422164268111356,-25.558423553346696,-4.715795552836907,-26.429741390119823,-45.27236763920223,-33.165627775712146,1800.2386985658445,-61.07762189003156,-55.58322385117803,-14.232869123753012,237.54780857406718,-25.22368511346433,-29.98009429340417,-180.97752989774395,-72.35841196027151,-21.18106373276398,-46.97768214344938,145.99321956173483,196.62954639226226
24.0,277.6559999999997,364.511264125525,-157.07389309905392,-297.5655597480163,-307.74041277207704,-26.022735230856235,-3949.084458973564,-30.16805757028019,-59.3998219080507,-13.57329225352318,-46.257476541968636,-109.96445195921272,-77.14696812730536,3740.2750982675025,-141.75878643079042,-129.04025837472022,-32.945916735713595,593.7750723300707,-58.38809323418276,-69.40078779738685,-447.7559518986434,-182.4220211127276,-49.40559843776309,-109.12235050999935,370.08626316976006,455.12389240570786
36.0,281.4839999999998,643.7308218560705,-274.3434574996181,-540.8277277517329,-548.7845587938067,-43.66455824689241,-6675.864607482236,-24.496134941835486,-97.86142180420786,-28.001701512671094,-49.05414597185582,-195.3005370980514,-130.39888937716688,5559.066391813803,-238.81146323287578,-217.471239669312,-55.2782137775823,1093.5008029321239,-97.96820616844087,-116.45154901002084,-815.1514122914331,-334.6497901948598,-83.85358724896277,-184.05632712230198,689.9032141537946,763.5578929935282
48.0,285.31200000000007,1002.364166991671,-414.0457740428034,-854.4112497837464,-855.6726124554568,-63.17352268721285,-9803.880021180774,8.950050150072952,-135.84133141558377,-49.057091472449535,-27.118328999080816,-299.693943295777,-190.38379692856148,6978.301111624366,-347.2304782878378,-316.35684077488423,-79.9707061233967,1751.0931741425743,-141.73348302732776,-168.48339633659822,-1291.2205430038123,-528.0096239479551,-123.04779534260703,-268.02327709866853,1120.429542327809,1104.498965326554
60.0,289.14000000000016,1446.5411126909419,-569.0222252616867,-1237.3946450051671,-1231.7356568656382,-83.61418486403066,-13251.753536867096,76.50263675008138,-169.17910836691325,-77.19006398838722,23.216587070440088,-417.68060919717976,-254.57753494884048,7791.641429148563,-462.16845788846194,-421.3070812164549,-105.83821252726766,2567.838872183997,-187.58404638723135,-223.00193365868014,-1877.1924272819326,-757.9447398565677,-165.46215939437892,-357.35097279803585,1668.190904533843,1461.5355439374612
72.0,292.9680000000002,1972.1752214790004,-727.1987493360707,-1683.052825334832,-1668.7793656999113,-104.16526654602133,-16951.086815410006,177.58406261790984,-195.4555406563113,-112.23066145155683,100.69193321241892,-538.6723563863151,-320.68210617720445,7881.7699539873,-579.2887430054813,-528.3865391400417,-131.8416601311916,3529.1393878657477,-233.67796601800038,-277.816574997292,-2564.87722902915,-1015.9789499029984,-209.67349935521753,-448.7311812886241,2305.5036424050168,1820.2811978589493
84.0,296.7960000000002,2497.465317673516,-866.6283024964958,-2166.0683157262706,-1866.574026334409,-121.25303234696322,-20523.463842403668,276.5354913400928,-205.70374729827137,-153.6279628280336,180.47300199087417,-647.1757256445287,-379.78791348788735,6964.904421961641,-680.8172938320903,-621.5649547423739,-153.4691353352653,4608.305054099094,-272.0110889791888,-323.3911202112232,-3294.886888611259,-1245.8997342817613,-250.56938462201495,-528.8434808401906,2694.1594791017023,2118.384942251709
96.0,300.62400000000014,2964.8029935772147,-973.1430898637345,-2655.545237066004,-1963.7770703796891,-136.04462661099063,-24104.75281056489,362.96973962056614,-211.45947950613674,-199.31009527523844,263.06491636041,-726.9161828955662,-433.8694286864,5135.040104614865,-771.6231039595286,-705.1419888249501,-172.19344763890044,5314.304605129528,-305.19665035069676,-362.84030088615845,-3630.8841240628267,-1458.459413504468,-288.8849063696978,-601.1040149301239,2961.366041252677,2376.207734888165
108.0,304.45200109669724,3368.843834291962,-1056.5365005493072,-3107.8171523866185,-2062.0514941837673,-149.85177304925776,-27963.51910443435,445.3923144154479,-220.12206983830384,-247.76494792894897,358.6613911398861,-785.314789704761,-485.9196128226697,3034.8604374778192,-857.95474501636,-784.7255265299435,-189.67348007417343,5736.3605629577305,-336.1757378222367,-399.66315583165436,-3723.8963490772985,-1675.3752019656417,-326.2164873583454,-670.1203504998916,3167.235031693659,2616.686006526334
