t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.97200000000095,152.5990030088508,-65.15119971224972,-120.25738035039657,-126.91237647887584,-11.20896970770649,-1704.7190721785628,-18.18639857769208,-25.354212662539677,-4.035698915512635,-26.452405022762797,-44.85330787825478,-33.0871807178217,1789.998097706152,-60.920560274506336,-55.44216311347701,-14.196175994476048,236.9643668031763,-25.15540146284769,-29.8908174249613,-180.77666813977524,-72.05697523377827,-21.13210405165487,-46.851340239394084,49.93968615451164,196.1177675413953
24.0,271.9440000000011,361.3574639690774,-154.28582726797998,-296.62289217563284,-306.4287664424793,-25.83530548471203,-3920.5059277518517,-29.099569664826237,-58.357899646475296,-10.325051922002881,-46.45521716649384,-107.50228320502569,-76.66368936238695,3692.0842375781094,-140.8157372031745,-128.18904120891554,-32.72004292271575,590.1190559030592,-57.979573943504256,-68.89473262897206,-446.3382534047978,-180.59576077198523,-49.108953527393446,-108.38884354008052,126.10567421865011,451.9908634627761
36.0,272.916000000001,631.4397002377759,-265.23217387856823,-537.3710740994067,-543.853437918119,-43.09283039705264,-6596.6052317936055,-22.32455725054198,-95.04360916867918,-19.384694284981826,-50.2202158946891,-187.19935033204766,-128.880880036673,5438.5337477062285,-235.88432297831616,-214.82393377597387,-54.57559171280756,1081.169981854364,-96.70773652953365,-114.91529690757291,-809.9910799420072,-328.4941748739527,-82.92060685697813,-181.79881669456407,233.48452832431593,753.8274555107613
48.0,273.8880000000011,968.6109551316672,-390.70171163934117,-845.2128858282939,-842.2163238917416,-61.87654817278743,-9636.054799870253,11.15814184398862,-130.19836294121643,-31.3426829503416,-31.602522577720812,-278.6573900901228,-186.8857981945321,6753.225027404018,-340.52917928562294,-310.2899988776843,-78.3630692470224,1719.1759354984933,-138.85966301344243,-165.00586493224688,-1277.4523349995943,-512.1844011355181,-120.89282916762566,-262.87171548510673,374.53435985862166,1082.251759087501
60.0,274.8600000000011,1368.5984340622929,-516.3784491798932,-1216.7580918034407,-1195.3627080888923,-81.04418612184567,-12937.487834179885,74.34110107041474,-159.65629613714492,-45.85482745166412,10.046001544580356,-369.62881811420056,-247.61580754615872,7431.3161712453075,-448.85132529701474,-409.2464927988159,-102.63584556069435,2496.9204299677845,-181.8719226862504,-216.12034509912763,-1845.7032899310864,-722.2744102102506,-161.18125288721598,-347.1421732023147,542.5479471043703,1417.2432431813436
72.0,275.8320000000014,1758.6670598607307,-614.4011394500133,-1630.6115518266297,-1344.6500174572068,-96.52550151684999,-16087.504655323444,140.9340744418629,-172.52837993393214,-62.238999773128654,57.55434613739253,-439.6187400251318,-300.84964810801455,7092.077630292166,-540.5259606077831,-493.3555823888607,-122.2417948941648,3407.3172762973854,-216.61384180518124,-257.4043174233317,-2479.5563770121894,-905.8302755696656,-197.9040133820259,-419.3877134221142,642.7570410015336,1687.6090008057993
84.0,276.80400000000117,2078.0169461875544,-670.7485112890628,-2056.837499195134,-1369.1090986594336,-107.74889358354032,-19074.39242004359,197.08465509338245,-175.4153043070703,-78.93637444999774,111.67782285136879,-475.64201349757184,-344.2087047675574,5865.963314711294,-611.7542808825478,-559.0984071022899,-136.45629617311673,4274.2705290103995,-241.80169058905255,-287.33358735186243,-3030.334450036363,-1058.5819898741681,-229.29257392388485,-476.52857445502366,691.1609520849762,1883.344859115085
96.0,277.7760000000011,2342.8956330475485,-701.2314465472098,-2465.0993394655397,-1394.500329694636,-115.35483655013297,-21938.119875845303,252.71405117856165,-170.34353857965147,-95.21379094021455,176.71342408375614,-492.3511154390918,-380.03117483494003,3703.107550786667,-666.4637477894518,-610.0901713484734,-146.08958058325186,4644.699455542452,-258.87157471426235,-307.61621568121683,-3078.2580480129996,-1190.452245199377,-257.0026069191325,-521.6904523435359,715.6957339528725,2015.6697449313822
108.0,278.74800043425057,2545.721383687697,-723.5261865298661,-2815.0258711738425,-1420.7502001815035,-121.14936056228609,-23765.3637730985,436.8911291343727,-163.05936647963355,-110.94773365528829,375.6404686695189,-504.1521604263165,-420.07532634650613,-510.9582041000997,-720.8969713382927,-661.6909754301741,-153.42876027208314,4825.166981714415,-271.8763161659867,-323.0683485544445,-3101.538717125469,-1440.3005925289453,-290.8662770218337,-568.8495968955656,730.5438053663862,2116.2071717822887
