t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,270.9719999999998,152.59910789556682,-65.1514321979928,-120.25790187246673,-126.91339594897283,-11.20888316103795,-1704.707615136871,-18.187367475119956,-25.354376318783853,-4.03570948142598,-26.451972166172084,-44.85289653015991,-33.08775292581917,1789.9836609071538,-60.922349074019735,-55.44193760568471,-14.196159696759729,236.96475595779523,-25.156652825827646,-29.889585545024968,-180.77340591597925,-72.05508492725862,-21.131720823246635,-46.85038439324539,47.789203383583136,196.11778412815983
24.0,271.94399999999985,361.3581763906988,-154.28649989476344,-296.62425798508224,-306.4314692111992,-25.835092511123158,-3920.477529977153,-29.10211274093769,-58.35829860400112,-10.325080715574453,-46.45430925938934,-107.50131996178504,-76.66515566488793,3692.0486014467283,-140.82028942606985,-128.18850426062755,-32.72000882263975,590.1203232163584,-57.98274633638115,-68.89163678965251,-446.3300973318388,-180.5908512911851,-49.10800125873786,-108.38645810212289,120.67541051448669,451.99100282172475
36.0,272.91600000000005,631.4415347178181,-265.2336113876218,-537.3737222859492,-543.8586422404542,-43.092452338227595,-6596.555412453718,-22.32945198571016,-95.0443537339561,-19.384749155677298,-50.21884706671738,-187.19772958384422,-128.88364890533578,5438.471943617891,-235.89284580597706,-214.82302605671413,-54.57554916930409,1081.1729089458797,-96.7136467067495,-114.90960832607632,-809.9761971452162,-328.48491576139423,-82.91888039825332,-181.7944740370662,223.43054245184535,753.8279980659592
48.0,273.8880000000002,968.6144956151719,-390.70425228661117,-845.2171570677701,-842.224834448685,-61.875949630877294,-9635.977679298416,11.150091005208813,-130.19947368496716,-31.342761878810297,-31.600717601207688,-278.655010655029,-186.89027664746004,6753.1306999019525,-340.54290733680756,-310.2885954475716,-78.36301100776632,1719.1813289216323,-138.8691613128648,-164.9967609111259,-1277.4286605474888,-512.169227276951,-120.89008819898197,-262.8647959919326,358.40690399785484,1082.2527672297806
60.0,274.86000000000007,1368.603627141633,-516.3825712986162,-1216.7642168975233,-1195.3744404351578,-81.04332106908322,-12937.380284162478,74.3291953810943,-159.65777246152192,-45.85492449439811,10.048428362455741,-369.62580942744665,-247.6223294534191,7431.1878331318885,-448.87125105481914,-409.24449822186716,-102.63576371889066,2496.929448870749,-181.88568632818203,-216.1071623854528,-1845.6694135096463,-722.2522592363762,-161.17731466526743,-347.13218656582654,519.1857895751925,1417.24473775272
72.0,275.8320000000003,1758.670903177092,-614.4073384603431,-1630.6182427854587,-1344.650109237023,-96.52435049092668,-16087.367547177182,140.91969736482187,-172.52941233478842,-62.239105160490425,57.5572248216534,-439.6167195946174,-300.8571340992579,7091.924672775518,-540.5490128136422,-493.35272728321814,-122.24153819756424,3407.3320719777644,-216.62986442885742,-257.3883633735169,-2479.5175040027107,-905.8029285240953,-197.89924185211868,-419.3754867458923,615.0768517146785,1687.6085644602506
84.0,276.80400000000037,2078.022131384463,-670.7568625317325,-2056.844711741652,-1369.1091952741924,-107.74780442999341,-19074.264775502706,197.07086690179855,-175.4164998869092,-78.93645604400557,111.68236576727364,-475.64125733911146,-344.2172095114342,5865.851846098261,-611.77989296093,-559.096088233151,-136.45620825593957,4274.312665930852,-241.8192532073265,-287.3168279703356,-3030.320401325901,-1058.555336515645,-229.2877396208138,-476.5160644442762,661.397777809717,1883.3469878128928
96.0,277.7760000000004,2342.9001398629084,-701.2410252418556,-2465.1069378432285,-1394.5004092624085,-115.35388582136987,-21938.021401028735,252.70087662349485,-170.3450605125833,-95.21387317408475,176.7194447039782,-492.3509427622568,-380.0403656911888,3703.0537012308855,-666.4910930029712,-610.088507535125,-146.08971381317204,4644.755630374628,-258.8901582062328,-307.5993335909084,-3078.2579989625688,-1190.42751858888,-256.99779632926277,-521.6780999039349,684.8771922796118,2015.6750444381003
108.0,278.748000486854,2545.728676201372,-723.5361755928085,-2815.0325006217404,-1420.7503146229128,-121.14844148535876,-23765.3551513302,436.8683556792918,-163.0607048755314,-110.94777512051608,375.6418370890303,-504.1521027738746,-420.0848853787088,-510.8690948044982,-720.9251889444228,-661.6895570586246,-153.42896133432137,4825.232266223356,-271.8954005032457,-323.0512532215886,-3101.5386707673406,-1440.271026973315,-290.86148932850705,-568.8372287683147,699.0861078386413,2116.2134811410606
