t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,273.82800000000094,152.9817744740508,-65.62366057931503,-120.38709982305443,-127.08137713517644,-11.243289632903723,-1710.3214011140858,-18.425607905292647,-25.557052247262956,-4.715822578392829,-26.42919578363442,-45.27120038326729,-33.166462997728836,1800.207324045616,-61.08108966632155,-55.58478099801312,-14.232875338339294,237.5485665665809,-25.227438132851777,-29.973675370194226,-180.97839983637314,-72.35575228941256,-21.17796557859942,-46.97598229849649,139.3403483649181,196.62963222211704
24.0,277.65600000000046,364.51973403366435,-157.0734821152075,-297.56751206825214,-307.74391260159126,-26.027223640627778,-3949.0232210654017,-30.176721596368935,-59.39627540703721,-13.573370195065783,-46.256429641727436,-109.96161773639513,-77.14915059108205,3740.195197398129,-141.76768243906554,-129.04430311930827,-32.945952949249964,593.777224613933,-58.39764324189488,-69.38455921144208,-447.7582874665277,-182.4150848578292,-49.39779273307078,-109.11812655678663,353.2218644476505,455.1243925975183
36.0,281.48400000000026,643.7477379474245,-274.3430121652743,-540.8315665668283,-548.7914837158972,-43.6729581198127,-6675.754086007648,-24.51214187986711,-97.8547248730913,-28.001861848585477,-49.052751864705904,-195.2955152292499,-130.40309401623279,5558.921764169969,-238.82826427535204,-217.47898114359955,-55.27832268848119,1093.505311942105,-97.98608239483096,-116.42138340050352,-815.15608358833,-334.6365898988438,-83.8391373774546,-184.04862931858335,658.4658200052476,763.5593973870588
48.0,285.312,1002.3920286935335,-414.04561658008913,-854.4178166280914,-855.6840974828795,-63.18719711423702,-9803.707540690852,8.924273230831208,-135.83028379180448,-49.057377236713556,-27.116723571871336,-299.6862942239731,-190.3908123139283,6978.075941245361,-347.25803188661274,-316.36966529728744,-79.97092434769438,1751.101652234459,-141.76258805198455,-168.43449336019017,-1291.2286831687682,-527.9878149195038,-123.02448023267239,-268.0110026637645,1069.3753117483725,1104.5019792388837
60.0,289.13999999999993,1446.5813896094344,-569.0227586665206,-1237.4045995774893,-1231.7525001994534,-83.63455993951392,-13251.508796033811,76.46445868143549,-169.16236262015343,-77.1905066753602,23.218271924546467,-417.66996064992526,-254.58820333430575,7791.322832220605,-462.2097435415046,-421.3264294308117,-105.83855686892157,2567.853035085424,-187.62741495221542,-222.92916377043196,-1877.205046041642,-757.9116988009322,-165.4276527570874,-357.3329398590357,1592.1787404872573,1461.5402978503262
72.0,292.968,1972.2286124759119,-727.2022406706004,-1683.0670198700282,-1668.7986034569979,-104.19347087538338,-16950.768674978124,177.53175002618661,-195.43195713165102,-112.23130657547188,100.69377497624149,-538.6603120227837,-320.69732898000194,7881.361672100135,-579.346392254125,-528.4138479152635,-131.8421932376386,3529.1623490089487,-233.73800444269446,-277.716124715907,-2564.89525958872,-1015.9331968813731,-209.62624035730423,-448.706793274488,2200.452484843268,1820.2885573912772
84.0,296.7959999999999,2497.5226896680465,-866.63751734405,-2166.0845928689187,-1866.57424879681,-121.2858804844481,-20523.096624798756,276.4770373113144,-205.6744232141583,-153.62875686387673,180.4753945044892,-647.1669854803156,-379.8061978585399,6964.445553704436,-680.8848822370817,-621.5971420861072,-153.46961881041346,4608.334705855226,-272.081000571733,-323.2734416345761,-3294.9060279290006,-1245.8455386626024,-250.5147719343948,-528.8153403421403,2571.3853104720934,2118.3916131341675
96.0,300.6239999999996,2964.8696332365794,-973.1587830284769,-2655.5629860787053,-1963.7773501273846,-136.08095066521562,-24104.391343993535,362.9126413623945,-211.4257189242879,-199.31103461330576,263.06994137890405,-726.9117459780631,-433.89111900846336,5134.585657687916,-771.6995293943509,-705.1793955497436,-172.19425474980403,5314.313936485857,-305.2739847155887,-362.711531908761,-3630.8845598971693,-1458.404153071717,-288.82623738324384,-601.0749439782687,2826.423216962772,2376.2188734822826
108.0,304.45200013763844,3368.922039781406,-1056.5566736915407,-3107.8341107183865,-2062.0518024817748,-149.890859155833,-27963.189108265226,445.34030305000334,-220.0841094383423,-247.76609169193677,358.6707796537842,-785.313004756674,-485.94473788252606,3034.45860546,-858.0389982642384,-784.7679327689078,-189.67464299947278,5736.362051743685,-336.2589796889132,-399.52606638751394,-3723.896656774321,-1675.3221952259184,-326.1554141769081,-670.0914764708295,3022.916498407029,2616.7020551811347
